,Date,Volume,Open,High,Low,Close,Median,ac,jaw,teeth,lips,bjaw,bteeth,blips,ao,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,jaws_tmp,teeth_tmp,lips_tmp,fdbb,fdbs,fdb,aof,aoaz,aobz,zlc,zlcb,zlcs,zcol,sz,bz,acs,acb,ss,sb
34,2023-01-20 18:00:00,34790,3932.35,3974.85,3924.6,3970.85,3949.725,11.3173382353,3961.4895816859,3940.1709861659,3919.4257583393,3880.1773317286,3891.0812189519,3924.7172156923,-44.2563676471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3930.6163656461,3923.4793082697,3924.4389161222,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,green,0.0,1.0,0.0,0.0,0.0,0.0
35,2023-01-22 22:00:00,5432,3970.85,3975.19,3966.07,3970.56,3970.63,17.7795058824,3956.8769215562,3936.1477378952,3916.7136066714,3880.7527549676,3892.6131967892,3926.667885819,-31.5888382353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3935.6180699403,3932.9094466158,3939.8359440815,0.0,1.0,-1.0,0.0,0,1,0.0,0.0,0.0,green,0.0,1.0,0.0,0.0,0.0,0.0
36,2023-01-23 02:00:00,3621,3970.56,3973.32,3968.56,3970.83,3970.94,22.3293529412,3953.3783122057,3932.6898956583,3916.9178853371,3881.1446903051,3894.2083204839,3928.8811832949,-18.8212205882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3940.0333111978,3940.5155572926,3950.203962721,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,green,0.0,1.0,0.0,0.0,0.0,0.0
37,2023-01-23 06:00:00,12878,3970.83,3980.33,3967.82,3972.2,3974.075,25.3589294118,3949.7519035745,3929.336783701,3923.4793082697,3881.2426151331,3895.4924419296,3930.8407808451,-5.4509852941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3944.2885222981,3947.2274458341,3958.1609751473,0.0,1.0,-1.0,0.0,0,1,0.0,0.0,0.0,green,0.0,1.0,0.0,0.0,0.0,0.0
38,2023-01-23 10:00:00,12807,3972.2,3985.33,3965.58,3980.33,3975.455,24.5982470588,3946.539064838,3927.8865607384,3932.9094466158,3881.2943835024,3896.7147611673,3932.4612725849,5.7184558824,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3948.1843320108,3952.8729566673,3963.9256500982,0.0,0.0,0.0,0.0,1,0,1.0,1.0,0.0,gray,0.0,0.0,0.0,0.0,0.0,0.0
39,2023-01-23 14:00:00,63558,3980.33,4036.32,3971.82,4030.32,4004.07,22.9680117647,3943.6118290813,3930.6163656461,3940.5155572926,3881.3918342495,3898.4113109642,3934.3894704501,16.1743676471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3955.1700405094,3963.1123653338,3977.3071000655,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,gray,0.0,0.0,1.0,0.0,0.0,0.0
40,2023-01-23 18:00:00,42719,4030.32,4042.08,4002.31,4022.33,4022.195,21.1918882353,3940.7082268442,3935.6180699403,3947.2274458341,3881.4215327411,3900.295741674,3936.2484566133,25.8950147059,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3963.5481604458,3974.9288922671,3992.269733377,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,gray,0.0,0.0,1.0,0.0,0.0,0.0
41,2023-01-23 22:00:00,3627,4022.33,4023.09,4016.57,4021.57,4019.83,19.7409235294,3938.9410555485,3940.0333111978,3952.8729566673,3881.5962908002,3902.2140009163,3938.249752007,35.2603676471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3970.58339039,3983.9091138136,4001.456488918,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,gray,0.0,0.0,1.0,0.0,0.0,0.0
42,2023-01-24 02:00:00,2925,4021.57,4026.635,4019.82,4022.32,4023.2275,18.7088764706,3939.7705897371,3944.2885222981,3963.1123653338,3881.9474560721,3903.8314736269,3939.5353475362,44.1481470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3977.1639040913,3991.7727910509,4008.713492612,0.0,1.0,-1.0,0.0,1,0,0.0,0.0,0.0,gray,0.0,0.0,1.0,0.0,0.0,0.0
43,2023-01-24 06:00:00,10082,4022.32,4023.59,4013.82,4015.33,4018.705,17.2569382353,3942.1443905266,3948.1843320108,3974.9288922671,3882.4185520713,3905.3899922882,3939.5882784911,51.9406470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3982.3565410799,3997.1592328407,4012.0439950747,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,gray,0.0,0.0,1.0,0.0,0.0,0.0
