,Date,Volume,Open,High,Low,Close,Median
248,2022-03-22 21:00:00,632568,14394.25,14696.15,14299.1500000000.1.34660.349999999999,14497.650000000001
249,2022-03-23 21:00:00,660761,14659.25,14687.25,14446.25,14468.25,14566.75
250,2022-03-24 21:00:00,639146,14467.1,14775.1500000000.1.34439.35,14768.45,14607.25
251,2022-03-25 21:00:00,637074,14769.849999999999,14844.849999999999,14577.75,14758.65,14711.3
252,2022-03-28 21:00:00,669914,14761.1500000000.1.35001.75,14663.95,14986.65,14832.85
253,2022-03-29 21:00:00,703460,14985.55,15273.55,14961.45,15228.45,15117.5
254,2022-03-30 21:00:00,659352,15229.55,15266.95,15017.25,15110.65,15142.1
255,2022-03-31 21:00:00,656548,15105.1500000000.1.35185.45,14860.75,14921.85,15023.1
256,2022-04-01 21:00:00,684217,14924.1500000000.1.34964.45,14730.95,14848.55,14847.7
257,2022-04-04 21:00:00,493138,14851.25,15179.75,14806.75,15164.05,14993.25
258,2022-04-05 21:00:00,579030.1.359.35,15200.05,14792.5,14863.55,14996.275
259,2022-04-06 21:00:00,754591,14863.05,14863.2,14397.95,14498.55,14630.575
260,2022-04-07 21:00:00,705801,14499.9,14636.55,14321.6,14537.05,14479.075
261,2022-04-08 21:00:00,646738,14539.05,14645.75,14314.65,14337.45,14480.2
262,2022-04-11 21:00:00,643292,14352.05,14377.5,13988.65,14007.35,14183.075
263,2022-04-12 21:00:00,791731,14010.6500000000.1.34287.95,13885.55,13957.65,14086.75
264,2022-04-13 21:00:00,646665,13958.05,14271.35,13927.55,14216.65,14099.45
265,2022-04-14 21:00:00,630951,14221.15,14300.55,13881.349999999999,13895.95,14090.949999999999
266,2022-04-18 21:00:00,611850,13896.95,14006.65,13734.45,13969.45,13870.55
267,2022-04-19 21:00:00,584187,13968.05,14246.0,13833.1500000000.1.34100.15,14039.575
268,2022-04-20 21:00:00,600030.1.307.35,14301.75,13962.599999999999,14074.45,14132.175
269,2022-04-21 21:00:00,822094,14074.55,14285.65,13672.25,13720.65,13978.95
270,2022-04-22 21:00:00,377560,13721.2,13783.95,13301.6500000000.1.33320.25,13542.800000000001
271,2022-04-25 21:00:00.1.34561,13340.15,13554.45,13188.95,13532.55,13371.7
