Date,Volume,Open,High,Low,Close,Median
2021-05-18 21:00:00,159045,4120.21,4128.0,4060.89,4112.94,4094.445
2021-05-19 21:00:00,78456,4112.94,4173.78,4089.2,4156.93,4131.49
2021-05-20 21:00:00,79809,4156.93,4189.39,4151.88,4161.63,4170.635
2021-05-23 21:00:00,47034,4161.63,4210.41,4146.81,4203.37,4178.61
2021-05-24 21:00:00,56473,4203.37,4216.81,4183.79,4192.81,4200.3
2021-05-25 21:00:00,45934,4192.81,4208.5,4185.03,4197.92,4196.765
2021-05-26 21:00:00,50940,4197.92,4215.31,4181.68,4214.89,4198.495
2021-05-27 21:00:00,38789,4214.89,4221.52,4205.26,4208.09,4213.39
2021-05-30 21:00:00,17317,4208.09,4213.69,4193.68,4194.5,4203.685
2021-05-31 21:00:00,48554,4194.5,4233.44,4194.5,4201.85,4213.97
2021-06-01 21:00:00,47793,4201.85,4217.64,4193.64,4209.78,4205.64
2021-06-02 21:00:00,58729,4209.78,4215.54,4167.72,4193.54,4191.63
2021-06-03 21:00:00,44136,4193.54,4233.82,4179.23,4227.8,4206.525
2021-06-06 21:00:00,40232,4227.8,4234.47,4216.31,4229.33,4225.39
2021-06-07 21:00:00,45544,4229.33,4238.53,4208.48,4227.11,4223.505
2021-06-08 21:00:00,34330,4227.11,4236.72,4219.0,4224.02,4227.86
2021-06-09 21:00:00,47684,4224.02,4250.33,4208.73,4240.39,4229.53
2021-06-10 21:00:00,27817,4240.39,4249.17,4232.6,4246.67,4240.885
2021-06-13 21:00:00,28699,4246.67,4257.96,4234.2,4255.6,4246.08
2021-06-14 21:00:00,41373,4255.6,4267.59,4238.32,4247.83,4252.955
2021-06-15 21:00:00,84985,4247.83,4251.36,4201.23,4213.25,4226.295
2021-06-16 21:00:00,100835,4213.25,4232.55,4193.45,4226.02,4213.0
2021-06-17 21:00:00,75670,4226.02,4233.6,4161.43,4165.19,4197.515
2021-06-20 21:00:00,69370,4165.19,4233.01,4140.19,4231.98,4186.6
2021-06-21 21:00:00,42729,4231.98,4258.68,4219.32,4250.32,4239.0
2021-06-22 21:00:00,38484,4250.32,4261.46,4244.14,4246.67,4252.8
2021-06-23 21:00:00,34114,4246.67,4277.08,4245.41,4275.54,4261.245
2021-06-24 21:00:00,31307,4275.54,4289.43,4266.63,4284.74,4278.03
2021-06-27 21:00:00,32883,4284.74,4294.65,4277.38,4294.0,4286.015
2021-06-28 21:00:00,32908,4294.0,4303.32,4284.21,4296.85,4293.765
2021-06-29 21:00:00,36925,4296.85,4306.58,4281.81,4305.89,4294.195
2021-06-30 21:00:00,36266,4305.89,4323.95,4298.35,4321.62,4311.15
2021-07-01 21:00:00,35511,4321.62,4358.49,4319.97,4351.88,4339.23
2021-07-04 21:00:00,18402,4351.88,4357.62,4344.77,4352.83,4351.195
